address_line_1,address_line_2,city,name,phone,state,url,zip_code,address,Updated_Date,point,latitude,longitude
1455 Nw 107th Ave,,Doral,Miami International,(305) 593-1242,FL,https://stores.ladyfootlocker.com//us/fl/doral/1455-nw-107th-ave.html,33172,"1455 Nw 107th Ave, Doral, FL, 33172",2021-02-28,"(25.786801750000002, -80.36568305135796)",25.786801750000002,-80.36568305135796
11401 Pines Blvd,Space 810,Pembroke Pines,Pembroke Lakes Mall,(954) 438-0322,FL,https://stores.ladyfootlocker.com//us/fl/pembroke-pines/11401-pines-blvd.html,33026,"11401 Pines Blvd, Space 810, Pembroke Pines, FL, 33026",2021-02-28,"(26.0031465, -80.223937)",26.0031465,-80.223937
3131 Manchester Expy,Ste 6c,Columbus,Peachtree Mall,(706) 321-5866,GA,https://stores.ladyfootlocker.com//us/ga/columbus/3131-manchester-expy.html,31909,"3131 Manchester Expy, Ste 6c, Columbus, GA, 31909",2021-02-28,"(32.54061724232528, -84.92481813007291)",32.54061724232528,-84.92481813007291
2801 Candler Rd,Suite 26,Decatur,Gallery At South Dekalb,(404) 241-6114,GA,https://stores.ladyfootlocker.com//us/ga/decatur/2801-candler-rd.html,30034,"2801 Candler Rd, Suite 26, Decatur, GA, 30034",2021-02-28,"(33.7737582, -84.296069)",33.7737582,-84.296069
2929 Turner Hill Road,Suite 2205,Lithonia,Mall At Stonecrest,(770) 484-1497,GA,https://stores.ladyfootlocker.com//us/ga/lithonia/2929-turner-hill-road.html,30038,"2929 Turner Hill Road, Suite 2205, Lithonia, GA, 30038",2021-02-28,"(33.7123305, -84.1051939)",33.7123305,-84.1051939
11691 W 95th St,,Overland Park,Oak Park Mall,(913) 888-8548,KS,https://stores.ladyfootlocker.com//us/ks/overland-park/11691-w-95th-st.html,66214,"11691 W 95th St, Overland Park, KS, 66214",2021-02-28,"(38.956455600000005, -94.721435)",38.956455600000005,-94.721435
7700 E Kellogg St,Suite 729,Wichita,Towne East Square,(316) 686-4082,KS,https://stores.ladyfootlocker.com//us/ks/wichita/7700-e-kellogg-st.html,67207,"7700 E Kellogg St, Suite 729, Wichita, KS, 67207",2021-02-28,"(37.67467903691116, -97.22217214924754)",37.67467903691116,-97.22217214924754
2000 Route 38,Suite 1030,Cherry Hill,Cherry Hill Mall,(856) 662-7893,NJ,https://stores.ladyfootlocker.com//us/nj/cherry-hill/2000-route-38.html,8002,"2000 Route 38, Suite 1030, Cherry Hill, NJ, 08002",2021-02-28,"(51.6414714, -0.1828925)",51.6414714,-0.1828925
651 Kapkowski Rd,,Elizabeth,Jersey Gardens Mall,(908) 353-4241,NJ,https://stores.ladyfootlocker.com//us/nj/elizabeth/651-kapkowski-rd.html,7201,"651 Kapkowski Rd, Elizabeth, NJ, 07201",2021-02-28,"(40.6601329, -74.1734442)",40.6601329,-74.1734442
400 Route 38,Space 1730,Moorestown,Moorestown Mall,(856) 231-8261,NJ,https://stores.ladyfootlocker.com//us/nj/moorestown/400-route-38.html,8057,"400 Route 38, Space 1730, Moorestown, NJ, 08057",2021-02-28,"(39.9670569, -74.9426677)",39.9670569,-74.9426677
1750 Deptford Ctr Rd,Space 1190,Woodbury,Deptford Mall,(856) 848-1920,NJ,https://stores.ladyfootlocker.com//us/nj/woodbury/1750-deptford-ctr-rd.html,8096,"1750 Deptford Ctr Rd, Space 1190, Woodbury, NJ, 08096",2021-02-28,"(52.6753858, -6.3071676)",52.6753858,-6.3071676
1 Walden Galleria,Space D206,Buffalo,Walden Galleria Mall,(716) 681-0914,NY,https://stores.ladyfootlocker.com//us/ny/buffalo/1-walden-galleria.html,14225,"1 Walden Galleria, Space D206, Buffalo, NY, 14225",2021-02-28,"(42.9383918, -78.6847515)",42.9383918,-78.6847515
90-15 Queens Blvd,Space 2012,Elmhurst,Queens Fashion Center,(718) 760-3271,NY,https://stores.ladyfootlocker.com//us/ny/elmhurst/90-15-queens-blvd.html,11373,"90-15 Queens Blvd, Space 2012, Elmhurst, NY, 11373",2021-02-28,"(40.7365804, -73.8783932)",40.7365804,-73.8783932
630 Old Country Rd,Space 1154,Garden City,Roosevelt Field Mall,(516) 739-5425,NY,https://stores.ladyfootlocker.com//us/ny/garden-city/630-old-country-rd.html,11530,"630 Old Country Rd, Space 1154, Garden City, NY, 11530",2021-02-28,"(40.7266477, -73.6343052)",40.7266477,-73.6343052
523 Broadway,,New York,523 Broadway,(212) 965-0493,NY,https://stores.ladyfootlocker.com//us/ny/new-york/523-broadway.html,10012,"523 Broadway, New York, NY, 10012",2021-02-28,"(40.72295145, -73.99924135088085)",40.72295145,-73.99924135088085
200 C Avenue,,Lawton,Central Mall,(580) 353-4422,OK,https://stores.ladyfootlocker.com//us/ok/lawton/200-c-avenue.html,73501,"200 C Avenue, Lawton, OK, 73501",2021-02-28,"(34.6086854, -98.3903305)",34.6086854,-98.3903305
1901 Nw Expressway,Suite 2012,Oklahoma City,Penn Square Mall,(405) 848-4569,OK,https://stores.ladyfootlocker.com//us/ok/oklahoma-city/1901-nw-expressway.html,73118,"1901 Nw Expressway, Suite 2012, Oklahoma City, OK, 73118",2021-02-28,"(35.4729886, -97.5170536)",35.4729886,-97.5170536
7021 South Memorial,Space 243,Tulsa,Woodland Hills Mall,(918) 250-6611,OK,https://stores.ladyfootlocker.com//us/ok/tulsa/7021-south-memorial.html,74133,"7021 South Memorial, Space 243, Tulsa, OK, 74133",2021-02-28,"(36.04487895051442, -95.8878825179432)",36.04487895051442,-95.8878825179432
305 West Fm 1382,Suite 602,Cedar Hill,Hillside Village,(972) 293-8059,TX,https://stores.ladyfootlocker.com//us/tx/cedar-hill/305-west-fm-1382.html,75104,"305 West Fm 1382, Suite 602, Cedar Hill, TX, 75104",2021-02-28,"(32.5888072, -96.9553675)",32.5888072,-96.9553675
1500 Harvey Road,Space 2026,College Station,Post Oak Mall,(979) 696-1881,TX,https://stores.ladyfootlocker.com//us/tx/college-station/1500-harvey-road.html,77840,"1500 Harvey Road, Space 2026, College Station, TX, 77840",2021-02-28,"(30.5955289, -96.3071042)",30.5955289,-96.3071042
8401 Gateway West,Space F3a,El Paso,Cielo Vista Mall,(915) 779-8123,TX,https://stores.ladyfootlocker.com//us/tx/el-paso/8401-gateway-west.html,79925,"8401 Gateway West, Space F3a, El Paso, TX, 79925",2021-02-28,"(31.7754152, -106.464634)",31.7754152,-106.464634
4800 S Hulen St,Suite 227,Fort Worth,Hulen Mall,(817) 294-5816,TX,https://stores.ladyfootlocker.com//us/tx/fort-worth/4800-s-hulen-st.html,76132,"4800 S Hulen St, Suite 227, Fort Worth, TX, 76132",2021-02-28,"(32.66829037006872, -97.41984107959047)",32.66829037006872,-97.41984107959047
1360 Baybrook Mall,,Friendswood,Baybrook Mall,(281) 480-8550,TX,https://stores.ladyfootlocker.com//us/tx/friendswood/1360-baybrook-mall.html,77546,"1360 Baybrook Mall, Friendswood, TX, 77546",2021-02-28,"(29.5293998, -95.2010447)",29.5293998,-95.2010447
5300 San Dario,Suite 178a-B,Laredo,Mall Del Norte,(956) 722-3764,TX,https://stores.ladyfootlocker.com//us/tx/laredo/5300-san-dario.html,78041,"5300 San Dario, Suite 178a-B, Laredo, TX, 78041",2021-02-28,"(27.5199841, -99.4953764)",27.5199841,-99.4953764
6002 Slide Rd,,Lubbock,South Plains Mall,(806) 799-0322,TX,https://stores.ladyfootlocker.com//us/tx/lubbock/6002-slide-rd.html,79414,"6002 Slide Rd, Lubbock, TX, 79414",2021-02-28,"(33.53931825, -101.92559859714618)",33.53931825,-101.92559859714618
2200 S 10th St,Space 1-16a,Mcallen,La Plaza Mall,(956) 668-1740,TX,https://stores.ladyfootlocker.com//us/tx/mcallen/2200-s-10th-st.html,78503,"2200 S 10th St, Space 1-16a, Mcallen, TX, 78503",2021-02-28,"(26.2043691, -98.230082)",26.2043691,-98.230082
2156 Town East Mall,,Mesquite,Town East Mall,(972) 279-7019,TX,https://stores.ladyfootlocker.com//us/tx/mesquite/2156-town-east-mall.html,75150,"2156 Town East Mall, Mesquite, TX, 75150",2021-02-28,"(32.8077597, -96.62323717787089)",32.8077597,-96.62323717787089
1321 N Columbia Ctr,Suite 361,Kennewick,Columbia Center,(509) 736-0830,WA,https://stores.ladyfootlocker.com//us/wa/kennewick/1321-n-columbia-ctr.html,99336,"1321 N Columbia Ctr, Suite 361, Kennewick, WA, 99336",2021-02-28,"(46.2087066, -119.1199192)",46.2087066,-119.1199192
304 Southcenter Mall,,Tukwila,Westfield Southcenter,(206) 241-1501,WA,https://stores.ladyfootlocker.com//us/wa/tukwila/304-southcenter-mall.html,98188,"304 Southcenter Mall, Tukwila, WA, 98188",2021-02-28,"(47.4627356, -122.2559156)",47.4627356,-122.2559156
2841 Greenbriar Pky,Space N233,Atlanta,Greenbriar Mall,(404) 344-6216,GA,https://stores.ladyfootlocker.com/us/ga/atlanta/2841-greenbriar-pky.html,30331,"2841 Greenbriar Pky, Space N233, Atlanta, GA, 30331",2021-02-28,"(33.71949997536807, -84.52704116556286)",33.71949997536807,-84.52704116556286
3393 Peachtree Rd Ne,Space 2016,Atlanta,Lenox Square Mall,(404) 266-0107,GA,https://stores.ladyfootlocker.com/us/ga/atlanta/3393-peachtree-rd-ne.html,30326,"3393 Peachtree Rd Ne, Space 2016, Atlanta, GA, 30326",2021-02-28,"(33.84901590182325, -84.35903519514736)",33.84901590182325,-84.35903519514736
1009 Garden State Plaza,,Paramus,Westfield Garden State Plaza,(201) 843-2605,NJ,https://stores.ladyfootlocker.com/us/nj/paramus/1009-garden-state-plaza.html,7652,"1009 Garden State Plaza, Paramus, NJ, 07652",2021-02-28,"(40.9189853, -74.0794263)",40.9189853,-74.0794263
700 Paramus Park,Ste 1021,Paramus,Paramus Park Mall,(201) 261-9118,NJ,https://stores.ladyfootlocker.com/us/nj/paramus/700-paramus-park.html,7652,"700 Paramus Park, Ste 1021, Paramus, NJ, 07652",2021-02-28,"(42.7268986, -83.4145584)",42.7268986,-83.4145584
400 Calle Betances ,,Caguas ,Las Catalinas Mall,(787) 745-0560,,https://stores.ladyfootlocker.com//pr/pr/carolina/200-ave-fragoso.html,725,"400 Calle Betances , Caguas , , 00725",2021-02-28,"(18.2344839, -66.0375248)",18.2344839,-66.0375248
200 Ave Fragoso,,Carolina ,Plaza Carolina,(787) 752-4460 ,,https://stores.ladyfootlocker.com//pr/pr/caguas/400-calle-betances.html,983,"200 Ave Fragoso, Carolina , , 00983",2021-02-28,"(35.8534714, -79.0720386)",35.8534714,-79.0720386
